latitude,longitude,elevation,time,temp,dwpt,rhum,prcp,wdir,wspd,pres,coco,exact_time,day_of_week,time_seconds,distance,predicted_time
44.398768,-72.999712,100.2,2023-04-28 17:10:37+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:10:37,4,138.0,2.7093797992994135,0.004517163
44.398746,-72.999694,100.0,2023-04-28 17:10:38+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:10:38,4,139.0,2.834192024056602,0.004517163
44.398727,-72.999668,100.0,2023-04-28 17:10:39+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:10:39,4,140.0,2.9576972747810575,0.004517163
44.398715,-72.999637,100.0,2023-04-28 17:10:40+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:10:40,4,141.0,2.806667940830023,0.004517163
44.398703,-72.999599,99.6,2023-04-28 17:10:41+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:10:41,4,142.0,3.3080079616294924,0.004517163
44.398692,-72.999559,99.6,2023-04-28 17:10:42+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:10:42,4,143.0,3.4130680152678448,0.004517163
44.398683,-72.999518,99.4,2023-04-28 17:10:43+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:10:43,4,144.0,3.416024831577174,0.004517163
44.398674,-72.999476,99.4,2023-04-28 17:10:44+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:10:44,4,145.0,3.4922797912505614,0.004517163
44.398667,-72.99943,99.4,2023-04-28 17:10:45+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:10:45,4,146.0,3.7463302963519065,0.004517163
44.398659,-72.99939,99.4,2023-04-28 17:10:46+00:00,18.9,1.8,32.0,0.0,290.0,18.4,1019.8,2.0,17:10:46,4,147.0,3.308357377145682,0.004517163
